"dimension","target","sampler","seed","medESS","ESS1","mean1","var1","median1","Q1_1","Q3_1"
1,"N(0.2,0.2²)",RRWMH,3,8601.770114400188,8601.770114400188,0.20088523274964362,0.041120811136766265,0.20058848892030431,0.06500216914564017,0.34213706436387337
1,"N(0.2,0.2²)",RRWMH,4,9445.61878929987,9445.61878929987,0.19947413362954766,0.03913105322025123,0.1987628953085598,0.06781616491120518,0.33141988192137106
1,"N(0.2,0.2²)",RRWMH,5,8920.633840404289,8920.633840404289,0.20128958895997112,0.03995974606212058,0.20207855515308604,0.06835660497288032,0.3348028285403902
1,"N(0.2,0.2²)",RRWMH,6,9235.19890235156,9235.19890235156,0.19815133155714643,0.04113533836708176,0.19718300765398433,0.062005409828932295,0.3365794519780569
1,"N(0.2,0.2²)",RRWMH,7,8722.241854511334,8722.241854511334,0.19824601943933176,0.040326468124627174,0.1979561943320636,0.06250446910828014,0.3341664642705702
1,"N(0.2,0.2²)",RRWMH,8,8858.70865612462,8858.70865612462,0.1989110508589379,0.039852885506387666,0.20063235964659404,0.06499906880126755,0.3349330748259094
1,"N(0.2,0.2²)",RRWMH,9,8687.11207587573,8687.11207587573,0.19963008015219758,0.04019293098999543,0.20166626873814894,0.06408407052826826,0.3349162925065034
1,"N(0.2,0.2²)",RRWMH,10,9178.046260410256,9178.046260410256,0.20177396844142692,0.04084252327721252,0.20114476769608308,0.06467394281611193,0.3396796718712139
1,"N(0.2,0.2²)",AM,1,4901.181628216149,4901.181628216149,0.19894835981644426,0.039405367252345225,0.19811006686043947,0.06487888683346565,0.3318886900476503
1,"N(0.2,0.2²)",AM,2,4653.75469433751,4653.75469433751,0.19727607528858798,0.04031232967920287,0.19823291567293366,0.062259080217478106,0.33272946294976025
1,"N(0.2,0.2²)",AM,3,4571.535194735812,4571.535194735812,0.19820195127804546,0.03955577884734181,0.19803855788623076,0.06667547118045294,0.334017637081229
1,"N(0.2,0.2²)",AM,4,4632.3491318753395,4632.3491318753395,0.20070590272398312,0.039865625978017315,0.20254588849590907,0.06757794806631527,0.33469972700141326
1,"N(0.2,0.2²)",AM,5,4822.015711322019,4822.015711322019,0.2045608593211532,0.0409006099199932,0.20523718571790486,0.0681475286479025,0.33977084885356534
1,"N(0.2,0.2²)",AM,6,4777.562394596502,4777.562394596502,0.2028000426973039,0.040272139557127225,0.20330939511647797,0.06682169896366895,0.3376698076522371
1,"N(0.2,0.2²)",AM,7,4546.909479626694,4546.909479626694,0.19715875486016785,0.0394838292671784,0.1976836321046238,0.06304513606301711,0.33168054586407003
1,"N(0.2,0.2²)",AM,8,4811.6451283730985,4811.6451283730985,0.20312696670699967,0.04029676171882482,0.2044659824506503,0.06686733230116632,0.3386289262959731
1,"N(0.2,0.2²)",AM,9,4999.266541344584,4999.266541344584,0.20091629133754468,0.040886923235929025,0.19882331149594243,0.06395154857831527,0.33546170001813574
1,"N(0.2,0.2²)",AM,10,4836.651301524432,4836.651301524432,0.199931977338665,0.03948899410743486,0.19926582624874523,0.06688402644352864,0.33447667560451433
1,"N(10,0.2²)",RRWMH,1,9285.257560612334,9285.257560612334,9.997481085902217,0.039650210559315724,9.996403782629432,9.863430898851757,10.131726783585085
1,"N(10,0.2²)",RRWMH,2,8156.807688981364,8156.807688981364,10.000747928197896,0.0398738912830936,10.000321680028428,9.865436474515656,10.137243794804094
1,"N(10,0.2²)",RRWMH,3,7822.5123965595185,7822.5123965595185,10.000788468413456,0.04143851811051036,10.000608661387439,9.864164277800723,10.139342410379765
1,"N(10,0.2²)",RRWMH,4,7737.529815222744,7737.529815222744,9.998268665173386,0.03984153715805405,9.99847450435533,9.862860757473518,10.13357733209659
1,"N(10,0.2²)",RRWMH,5,8316.256202025927,8316.256202025927,10.000405477082511,0.040023469763355024,10.001855778859808,9.864958597783875,10.133072363687745
1,"N(10,0.2²)",RRWMH,6,8675.827255997612,8675.827255997612,9.997011742330791,0.04017189502441454,9.996877972718645,9.860400015255898,10.131295847625859
1,"N(10,0.2²)",RRWMH,7,6529.848671282502,6529.848671282502,9.999988567192775,0.04015470329261461,10.00059874570817,9.866558420265962,10.133020457213462
1,"N(10,0.2²)",RRWMH,8,7717.197970803698,7717.197970803698,9.998746260699836,0.04015658935196598,9.997612247493638,9.86387770360354,10.134011246855282
1,"N(10,0.2²)",RRWMH,9,9131.021237780173,9131.021237780173,10.00216035449185,0.04030114973215859,10.002640923120692,9.868067317302266,10.139231112974258
1,"N(10,0.2²)",RRWMH,10,7101.819969155874,7101.819969155874,10.002510405889952,0.04086369503494325,10.002120232513914,9.866668924806362,10.138731063823691
